,objectid,x,y,date_updte,address,city,state,zipcode,fac_name,fac_type,ferry_t,ferry_i,bus_t,bus_i,bus_code_s,bus_supp,rail_i,rail_c,rail_h,rail_light,air_serve,bike_share,bike_sys,i_service,t_service,modes_serv,mode_bus,mode_air,mode_rail,mode_ferry,mode_bike
593,2863,-87.62333000000001,41.64667,04/16/16,137th ST & Illinois St,Riversdale,IL,60827,Riverdale,11,0,3,1.0,0,0,0,0,1,0,0,0,0,,0,1,2,1,0,1,0,0
594,2864,-87.82,41.827220000000004,04/16/16,90 Bloomingbank Rd,Riverside,IL,60827,Riverside,11,0,3,0.0,0,0,0,0,1,0,0,0,0,,0,1,1,0,0,1,0,0
595,2865,-87.86576,41.11913,04/16/16,199 S East Ave,Kankakee,IL,60901,Amtrak Station,10,3,3,2.0,0,3,3,1,3,3,3,3,3,,1,0,1,0,0,1,0,0
596,2866,-87.869,41.0948,09/16/16,2125 S Schuyler Ave,Kankakee,IL,60901,,2,3,3,1.0,1,3,3,0,3,3,3,3,3,,1,1,1,1,0,0,0,0
597,2867,-87.99476999999999,40.76208,04/16/16,Us Rt 24 & W Wenona St,Gilman,IL,60983,Amtrak Station,10,3,3,3.0,3,3,3,1,3,3,3,3,3,,1,0,1,0,0,1,0,0
598,2868,-89.632,42.2805,09/16/16,1300 E South St,Freeport,IL,61032,,2,3,3,3.0,1,3,3,3,3,3,3,3,3,,1,0,1,1,0,0,0,0
599,2869,-90.444,42.4242,09/16/16,Rt 20 & Irvine St,Galena,IL,61036,,2,3,3,3.0,1,3,3,3,3,3,3,3,3,,1,0,1,1,0,0,0,0
600,2870,-88.96600000000001,42.2686,09/16/16,7559 Walton St,Rockford,IL,61108,Van Galder Bus Station,2,3,3,1.0,1,1,3,3,3,3,3,0,3,,1,1,1,1,0,0,0,0
601,2871,-88.9605,42.2645,09/16/16,725 Lyford Rd,Rockford,IL,61108,Greyhound Bus Station,2,3,3,2.0,1,0,3,3,3,3,3,0,3,,1,0,1,1,0,0,0,0
602,2872,-89.09721,42.19536,04/16/16,60 Airport Dr,Rockford,IL,61109,Chicago Rockford Intl,1,3,3,2.0,0,0,3,3,3,3,3,1,3,,1,0,1,0,1,0,0,0
603,2873,-90.5524,41.5075,09/16/16,3500 5th Ave,Rock Island,IL,61201,Augustana College,2,0,3,1.0,1,1,3,0,3,3,3,0,3,,1,1,1,1,0,0,0,0
604,2874,-90.50754,41.44853,04/16/16,2200 69th Ave,Moline,IL,61265,Quad City Intl,1,0,3,1.0,0,0,3,0,3,3,3,1,3,,1,1,2,1,1,0,0,0
605,2875,-90.5004,41.51401,04/16/16,2500 River Dr,Moline,IL,61265,Moline Landing/Moline Centre,6,1,3,2.0,0,0,3,0,3,3,3,0,3,,0,1,1,0,0,0,1,0
606,2876,-89.11729,41.55004,04/16/16,8th St & 6th Ave,Mendota,IL,61342,Amtrak Station,10,3,3,3.0,0,3,3,1,3,3,3,3,3,,1,0,1,0,0,1,0,0
607,2877,-88.836,41.3691,09/16/16,2749 Columbus St,Ottawa,IL,61350,,2,3,3,3.0,1,3,3,0,3,3,3,3,3,,1,0,1,1,0,0,0,0
608,2878,-89.1276,41.3675,09/16/16,3130 May Rd,Peru,IL,61354,,2,3,3,3.0,1,3,3,0,3,3,3,3,3,,1,0,1,1,0,0,0,0
609,2879,-89.46168,41.38691,04/16/16,107 Bicentennial Dr,Princeton,IL,61356,Amtrak Station,10,3,3,3.0,0,3,3,1,3,3,3,3,3,,1,0,1,0,0,1,0,0
610,2880,-89.92742,41.24563,04/16/16,W 3rd & Loomis Sts,Kewanee,IL,61443,Amtrak Station,10,0,3,0.0,0,0,3,1,3,3,3,0,3,,1,0,1,0,0,1,0,0
611,2881,-90.67228,40.46113,04/16/16,120 E Calhoun St,Macomb,IL,61455,Amtrak Station,10,3,3,3.0,0,3,3,1,3,3,3,3,3,,1,0,1,0,0,1,0,0
612,2882,-90.648,40.9233,09/16/16,1134 N Main St,Monmouth,IL,61462,,2,3,3,0.0,1,3,3,3,3,3,3,3,3,,1,0,1,1,0,0,0,0
613,2883,-89.5938,40.6893,09/16/16,407 SW Adams St,Peoria,IL,61602,City Link Building,2,3,3,1.0,1,1,3,3,3,3,3,0,3,,1,1,1,1,0,0,0,0
614,2884,-89.69331,40.66424,04/16/16,6100 W Dirksen Pkwy,Peoria,IL,61607,Greater Peoria Regional,1,3,3,1.0,0,0,3,3,3,3,3,1,3,,1,1,2,1,1,0,0,0
615,2885,-88.91595,40.477990000000005,04/16/16,3201 Cira Dr,Bloomington/Normal,IL,61704,Central Il Regional Airport,1,3,3,0.0,0,0,3,0,3,3,3,1,3,,1,0,1,0,1,0,0,0
616,2886,-88.6365,40.87944,04/16/16,721 W Washington St,Pontiac,IL,61764,Amtrak Station,10,3,3,3.0,3,3,3,1,3,3,3,3,3,,1,0,1,0,0,1,0,0
617,2887,-87.542,40.1217,09/16/16,379 Lynch Rd,Danville,IL,61834,BP Gas Station,2,3,3,1.0,1,1,3,3,3,3,3,3,3,,1,1,1,1,0,0,0,0
618,2888,-88.15902,40.312,04/16/16,E Gove & N Kentucky Aves,Rantoul,IL,61866,Amtrak Station,10,3,3,0.0,0,0,3,1,3,3,3,0,3,,1,0,1,0,0,1,0,0
619,2889,-88.27806,40.03925,04/16/16,One Aiport Rd,Chapaign/Urbana (Savoy),IL,61874,University Of Illinois Willard,1,3,3,2.0,0,0,3,0,3,3,3,1,3,,1,0,1,0,1,0,0,0
620,2890,-88.37553,39.48242,04/16/16,1718 Broadway Ave,Mattoon,IL,61938,Amtrak Station,10,3,3,3.0,1,3,3,1,3,3,3,3,3,,1,0,2,1,0,1,0,0
621,2891,-88.37799999999999,39.4827,09/16/16,1904 Broadway Ave,Mattoon,IL,61938,Checker Top Cab/Greyhound Lines,2,3,3,3.0,1,3,3,1,3,3,3,3,3,,1,0,2,1,0,1,0,0
622,2892,-90.13495,38.90449,04/16/16,3400 College Ave,Alton,IL,62002,Amtrak Station,10,3,3,0.0,0,0,3,1,3,3,0,0,3,,1,0,1,0,0,1,0,0
623,2893,-90.1749,38.6284,04/16/16,100 S Front St,East St Louis,IL,62201,East Riverfront Station,8,3,3,0.0,0,0,3,0,3,3,1,0,3,,0,1,1,0,0,1,0,0
